,name,start_site,reverse or forward,offset,all features listed in regulonDB,Features expected to appear in the mutagenized region.,notes,Reason for choosing TSS
0,fdoH,4085867.0,rev,0.0,small_RNA_SdhX,,,TSS cluster as identified from RACE experiments. See Salgado H et al Nucleic Acids Research (2012).
1,sdaB,2928035.0,fwd,0.0,,,,Computationally predicted start site. See Huerta AM et al. J. Mol. Biol. (2003).
2,thiM,2185451.0,rev,0.0,thiamine_diphosphate,,not in region.,Experimentally determined start site as found in the EcoCyc database. See Mendoza-Vargas et al. PLoS One (2009).
3,yedJ,2033449.0,rev,0.0,,,,RACE start site from RegulonDB. This is the strongest evidence site for this gene. See Salgado H et al Nucleic Acids Research (2012).
4,ykgE,321511.0,fwd,0.0,,,,Computationally predicted start site for sigma-70. See Huerta AM et al. J. Mol. Biol. (2003).
5,sdiA,1996867.0,rev,-10.0,Nac CsrA CsrA,,need to check,"Experimentally determined start site, p3, is in the middle of regulatory region, as determined by the EcoCyc database. See Yakhnin H et al. J. Bacteriol. (2011)."
6,yqhC,3155262.0,rev,1.0,GlaR,,no location.,"The start site for this gene was set as 44 base pairs upstream of the gene start, since the intergenic region is small."
7,yicI,3836664.0,rev,0.0,,,,Experimentally determined TSS for sigma-24. See Rhodius VA et al. PLoS Biol. (2005).
8,ybjT,909320.0,rev,0.0,,,part of operon with poxB.,Experimentally determined start site. See Mendoza-Vargas et al. PLoS One (2009).
9,mtgA,3350504.0,rev,-7.0,ArcA,No known start site.,,Offset of 7 bp from RACE TSS on RegulonDB. The offset will move it further upstream from gene start. See Salgado H et al Nucleic Acids Research (2012).
10,aphA,4269355.0,fwd,0.0,,,no known start site.,RACE TSS from RegulonDB. See Salgado H et al Nucleic Acids Research (2012).
11,bdcR,4474096.0,fwd,0.0,GlaR NsrR,,GlaR outside region NsrR not known to regulate but is in region.,Computationally predicted start site from RegulonDB. See Huerta AM et al. J. Mol. Biol. (2003).
12,yncD,1523276.0,rev,0.0,,,,Computationally predicted start site based on the EcoCyc database. See Huerta AM et al. J. Mol. Biol. (2003).
13,rumB,897947.0,fwd,0.0,,,,Computationally predicted start site based on the EcoCyc database. See Huerta AM et al. J. Mol. Biol. (2003).
14,yagH,285350.0,fwd,0.0,,,,Nearest computationally predicted sigma-70 start site to gene. See Huerta AM et al. J. Mol. Biol. (2003).
15,eco,2303797.0,fwd,0.0,,,,Only compuationally predicted sigma-70 start site for this gene. See Huerta AM et al. J. Mol. Biol. (2003).
16,yfhG,2690181.0,rev,0.0,,,,RACE site TSS. See Salgado H et al Nucleic Acids Research (2012).
17,htrB,1116709.0,rev,0.0,,,,"Experimentally determined TSS. See Karow M & Georgopoulos C, Mol. Microbiol. (1991)."
18,iap,2876547.0,fwd,3.0,,,cysB normally in region,RACE site TSS from RegulonDB. See Salgado H et al Nucleic Acids Research (2012).
19,ygjP,3235915.0,fwd,0.0,,,,45 base pairs upstream of start of gene in small intergenic region.
20,yedK,2009776.0,fwd,0.0,,,,45 base pairs upstream of start of gene in small intergenic region.
21,holC,4484273.0,rev,0.0,,,,"Sigma-32 promoter with experimental evidence, as shown in EcoCyc database. This is the only promoter in the genomic area. See Nonaka G et al. Genes Dev. (2006)."
22,aegA,2585570.0,rev,0.0,CRP,,unknown location weak evidence,45 base pairs upstream of start of gene in small intergenic region.
23,rapA,63358.0,rev,0.0,,,,"Sigma-70 TSS with experimental evidence, as shown in the EcoCyc database. This is the closest start site to the gene. See Cabrera JE & Jin DJ, J. Bacteriol. (2001)."
24,dusC,2230395.0,rev,0.0,,,,TSS with experimental evidence. It is the only site in the genomic area. See Raghavan R et al. J. Bacteriol. (2011).
25,fdhE,4081359.0,rev,2.0,,,same regulon as fdoH,"Race TSS site near the computationally predicted start site, fdhEp1. See Salgado H et al Nucleic Acids Research (2012)."
26,dnaE_start1,197026.0,fwd,0.0,,,,One of two experimentally determined start sites upstream of whole operon. See Dartigalongue C et al. J. Biol. Chem. (2001). 
27,dnaE_start2,197821.0,fwd,,,,,One of two experimentally determined start sites upstream of whole operon. See Dartigalongue C et al. J. Biol. Chem. (2001). 
28,ycgB,1237285.0,rev,0.0,,,Lrp in area,Experimentally determined TSS and it is the only start site in region. See Mendoza-Vargas et al. PLoS One (2009).
29,yehS,2212241.0,rev,-15.0,,,,RACE TSS upstream of whole operon. Offset by 15 bp to be further upstream from gene start. See Salgado H et al Nucleic Acids Research (2012).
30,yeiQ,2266214.0,fwd,0.0,,,,Experimentally determined start site next to gene start. See Salgado H et al Nucleic Acids Research (2012).
31,ydhO,1734357.0,fwd,0.0,NsrR,,low evidence,Computationally predicted start site. It is the only site in the genomic area. See Huerta AM et al. J. Mol. Biol. (2003).
32,hslU,4122354.0,rev,0.0,,,,"Sigma-32 site with experimental evidence, as shown in the EcoCyc database. This is the only reported start site in the genomic area. See Nonaka G et al. Genes Dev. (2006)."
33,ymgG,1223097.0,rev,0.0,,,,RACE site from RegulonDB. Only start site in the genomic area. See Salgado H et al Nucleic Acids Research (2012).
