,b1113,b3095,b3096,b3363,b3461,b3859,b3860,b4392
RNAP,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
kDeg,0.0023104906018664843,0.0023104906018664843,0.0023104906018664843,0.0023104906018664843,0.0023104906018664843,0.0023104906018664843,0.0023104906018664843,0.0023104906018664843
promoterConcVal,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09
TF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u,0.0002777777777777778,0.0002777777777777778,0.0002777777777777778,0.0002777777777777778,0.0002777777777777778,0.0002777777777777778,0.0002777777777777778,0.0002777777777777778
mRNA_total,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
cell_volume,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15
k_d_TF,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
KdRNAP,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
kEscape,0.10620650540506343,0.1908022569101696,0.172690714140853,0.17145427189456874,0.3943469367239237,0.261800358054738,0.3250797482029094,0.1
KeqOpening,0.9665337337028265,1.737734994786529,1.5725246617787516,1.5612480364377617,3.598185441118231,2.3858926973227246,2.9642911805785186,0.5036684030734943
KdRNAPCrp,5.121093750000068e-05,4.962890625000068e-05,0.00010242187500000054,7.388671875000063e-05,2.375976562500075e-05,8.917968750000055e-05,6.955078125000063e-05,2.129882812500076e-05
