,b0774,b0775,b0777,b0778
RNAP,1e-06,1e-06,1e-06,1e-06
kDeg,0.0023104906018664843,0.0023104906018664843,0.0023104906018664843,0.0023104906018664843
promoterConcVal,1e-09,1e-09,1e-09,1e-09
TF,0.0,0.0,0.0,0.0
u,0.0002777777777777778,0.0002777777777777778,0.0002777777777777778,0.0002777777777777778
mRNA_total,1800.0,1800.0,1800.0,1800.0
cell_volume,1e-15,1e-15,1e-15,1e-15
k_d_TF,1.0,1.0,1.0,1.0
KdRNAP,0.001,0.001,0.001,0.001
kEscape,0.1,0.1,10.0,0.1
KeqOpening,0.30447138298444343,0.20403179805384863,0.0011616526745521457,0.09904068924220057
KdRNAPCrp,8.591308593750793e-06,1.8408203125001463e-06,1.5893554687501474e-06,1.2871322631837377e-06
