Site	Left	Right	Strand	Transcription-Units
Abh DNA-binding-site regulating sunAp	2269836	2269871	-	sunAT-bdbA-yolJ-bdbB
AbrB DNA-binding-site 1.5 bases downstream of PM8J2-735	1360366	1360366	+	dppABCDE
AbrB DNA-binding-site 100.0 bases upstream of PM8J2-595	3701279	3701279	+	rbsRKDACB
AbrB DNA-binding-site 11.0 bases upstream of PM8J2-772	1926601	1926601	+	citB
AbrB DNA-binding-site 123.5 bases upstream of tapAp	2555403	2555458	-	tapA-sipW-tasA
AbrB DNA-binding-site 13.0 bases downstream of PM8J2-595	3701391	3701391	+	rbsRKDACB
AbrB DNA-binding-site 15.5 bases upstream of PM8J2-565	116560	116560	+	sigH
AbrB DNA-binding-site 182 bases upstream of tapAp	2555469	2555509	-	tapA-sipW-tasA
AbrB DNA-binding-site 20.0 bases upstream of PM8J2-676	3230019	3230019	+	kinB-kapB
AbrB DNA-binding-site 21.0 bases upstream of PM8J2-792	1105647	1105647	-	aprE
AbrB DNA-binding-site 21.5 bases upstream of PM8J2-756	1117052	1117052	+	comK
AbrB DNA-binding-site 210.0 bases downstream of PM8J2-684	4041660	4041660	+	hut
AbrB DNA-binding-site 22.0 bases upstream of PM8J2-555	1430614	1430614	+	spo0E
AbrB DNA-binding-site 25.0 bases upstream of liaIp	3398981	3398981	-	liaIH // liaIHGFSR
AbrB DNA-binding-site 27.5 bases downstream of PM8J2-63	194848	194848	+	sigW-ybbM
AbrB DNA-binding-site 35.0 bases upstream of sinI-P2 (RNAII)	2552358	2552358	+	sinIR // sinIR
AbrB DNA-binding-site 37.5 bases upstream of PM8J2-52	1503520	1503520	+	yknWXYZ
AbrB DNA-binding-site 39.5 bases upstream of PM8J2-66	3535526	3535526	-	pbpE-racX
AbrB DNA-binding-site 4.5 bases downstream of PM8J2-34	3982951	3982951	+	yxzE
AbrB DNA-binding-site 40.5 bases upstream of spoVG-P1	55790	55790	+	spoVG
AbrB DNA-binding-site 44.5 bases upstream of PM8J2-483	4113306	4113306	-	yxaAB
AbrB DNA-binding-site 67.0 bases upstream of PM8J2-40	3608896	3608896	-	yvlABCD
AbrB DNA-binding-site 68.5 bases upstream of sboAp	3835914	3835975	+	sboAX-albABCDEFG
AbrB DNA-binding-site 72.0 bases upstream of PM8J2-66	3535558	3535558	-	pbpE-racX
AbrB DNA-binding-site regulating abrB-P2			-	abrB // abrB
AbrB DNA-binding-site regulating fatRp			-	yrhIJ
AbrB DNA-binding-site regulating G4			-	yoaW
AbrB DNA-binding-site regulating PM8J2-1073			-	ycnK
AbrB DNA-binding-site regulating PM8J2-503			-	yocH
AbrB DNA-binding-site regulating PM8J2-527			+	skf
AbrB DNA-binding-site regulating PM8J2-568			-	sdpRI
AbrB DNA-binding-site regulating PM8J2-786			+	argCJBD-carAB-argF
AbrB DNA-binding-site regulating PM8J2-822			-	yxbCD
AbrB DNA-binding-site regulating PM8J2-860			+	senS
AbrB DNA-binding-site regulating PM8J2-921			+	rok
AbrB DNA-binding-site regulating PM8J2-970			+	sdp
AbrB DNA-binding-site regulating scoCp			-	scoC
AbrB DNA-binding-site regulating sunAp	2269833	2269907	-	sunAT-bdbA-yolJ-bdbB
AbrB DNA-binding-site regulating yxbBp			+	yxbBA-yxnB-asnH-yxaM
AcoR DNA-binding-site 91.5 bases upstream of PM8J2-100	878883	878883	+	acoABCL
AdaA DNA-binding-site 35.5 bases upstream of PM8J2-798	203543	203543	-	alkA
AdaA DNA-binding-site regulating PM8J2-802			+	adaAB
AdeR DNA-binding-site 74 bases upstream of aldp	3278210	3278242	+	ald
AdhR DNA-binding-site 24.5 bases upstream of adhAp	2756206	2756224	+	adhA-yraA
AdhR DNA-binding-site 24.5 bases upstream of adhRp	2755844	2755862	-	adhR
AdhR DNA-binding-site 25.5 bases upstream of yrzPp	2755919	2755937	+	yrzP
AhrC DNA-binding-site 124.5 bases downstream of PM8J2-786	1195126	1195126	+	argCJBD-carAB-argF
AhrC DNA-binding-site 22.5 bases upstream of PM8J2-786	1194980	1194980	+	argCJBD-carAB-argF
AhrC DNA-binding-site 52.5 bases upstream of PM8J2-786	1194950	1194950	+	argCJBD-carAB-argF
AhrC DNA-binding-site 9.0 bases upstream of PM8J2-96	4145562	4145562	-	rocDEF
AhrC DNA-binding-site 9.0 bases upstream of PM8J2-97	3880559	3880559	-	rocABC
AlsR DNA-binding-site regulating PM8J2-674			+	ldh-lctP
AlsR DNA-binding-site regulating PM8J2-797			-	alsSD
AnsR DNA-binding-site regulating PM8J2-1071			+	ansR
AnsR DNA-binding-site regulating PM8J2-794			-	ansAB
AraR DNA-binding-site 22.5 bases upstream of PM8J2-533	2915270	2915270	-	xsa
AraR DNA-binding-site 34.0 bases upstream of PM8J2-808	2950173	2950173	-	abnA
AraR DNA-binding-site 4.5 bases downstream of PM8J2-789	3485566	3485566	-	araE
AraR DNA-binding-site 48.0 bases downstream of PM8J2-789	3485522	3485522	-	araE
AraR DNA-binding-site 48.0 bases downstream of PM8J2-790	2948925	2948925	-	araABDLMNPQ-abfA
AraR DNA-binding-site 5.5 bases downstream of PM8J2-790	2948968	2948968	-	araABDLMNPQ-abfA
AraR DNA-binding-site 61.5 bases upstream of PM8J2-533	2915309	2915309	-	xsa
AraR DNA-binding-site regulating PM8J2-788	3485647	3485647	+	araR
ArfM DNA-binding-site regulating PM8J2-674			+	ldh-lctP
ArfM DNA-binding-site regulating PM8J2-688			+	hemZ
ArfM DNA-binding-site regulating PM8J2-787			-	arfM
ArfM DNA-binding-site regulating PM8J2-797			-	alsSD
ArfM DNA-binding-site regulating PM8J2-83			+	hmp
ArsR DNA-binding-site regulating PM8J2-785	2657732	2657732	-	arsR-yqcK-arsBC
AscR DNA-binding-site 53.5 bases upstream of PM8J2-9	3008896	3008896	-	ytmIJKLMNO-ytnIJ-ribR-ytnLM
AzlB DNA-binding-site regulating PM8J2-1070			-	azlBCD-brnQ-yrdK
BirA DNA-binding-site regulating PM8J2-1069	3095564	3095564	-	bioWAFDBI-ytbQ
BkdR DNA-binding-site 111.5 bases upstream of PM8J2-98	2504804	2504804	-	ptb-bcd-buk-lpdV-bkdAABB
BkdR DNA-binding-site 76.5 bases upstream of PM8J2-98	2504769	2504769	-	ptb-bcd-buk-lpdV-bkdAABB
BkdR DNA-binding-site 97.5 bases upstream of PM8J2-98	2504790	2504790	-	ptb-bcd-buk-lpdV-bkdAABB
BltR DNA-binding-site 22.0 bases upstream of PM8J2-780	2716882	2716882	+	blt-bltD
BmrR DNA-binding-site 24 bases upstream of bmrp	2494593	2494615	+	bmr-bmrR
Btr DNA-binding-site 53.0 bases upstream of feuAp	183411	183411	-	feuABC-ybbA // feuABC-ybbA
CatR DNA-binding-site regulating catDp			+	catDE
CcpA DNA-binding-site 117.0 bases upstream of PM8J2-805	3016507	3016507	-	ackA
CcpA DNA-binding-site 146.5 bases downstream of PM8J2-532	1891950	1891950	+	xylAB
CcpA DNA-binding-site 149.0 bases downstream of gntR-P1	4113531	4113531	+	gntRKPZ
CcpA DNA-binding-site 17.5 bases upstream of PM8J2-672	3961939	3961939	-	licBCAH
CcpA DNA-binding-site 2 bases downstream of rhaEWp	3203950	3203978	-	rhaEWRBMA
CcpA DNA-binding-site 209.5 bases downstream of PM8J2-684	4041660	4041660	+	hut
CcpA DNA-binding-site 21.5 bases downstream of PM8J2-355	2514072	2514072	-	mmgABCDE-yqiQ
CcpA DNA-binding-site 22.5 bases upstream of bglPp	4035839	4035839	-	bglPH-yxiE
CcpA DNA-binding-site 22.5 bases upstream of cydAp	3979413	3979413	-	cydABCD
CcpA DNA-binding-site 229.0 bases downstream of exuP1	1300625	1300625	+	uxaC-yjmBCD-uxuA-yjmF-exuTR-uxaBA
CcpA DNA-binding-site 230.5 bases downstream of PM8J2-530	1887261	1887261	+	xynPB
CcpA DNA-binding-site 26.5 bases upstream of PM8J2-803	3040025	3040025	+	acuABC
CcpA DNA-binding-site 28.0 bases upstream of PM8J2-709	1002326	1002326	+	glpFK
CcpA DNA-binding-site 373.0 bases downstream of PM8J2-544	850693	850693	+	trePAR
CcpA DNA-binding-site 43.0 bases downstream of PM8J2-284	4004167	4004167	-	yxjC-scoAB-yxjF
CcpA DNA-binding-site 43.0 bases upstream of PM8J2-99	2762905	2762905	-	levDEFG-sacC
CcpA DNA-binding-site 44.5 bases downstream of PM8J2-804	3039918	3039918	-	acsA
CcpA DNA-binding-site 470.0 bases downstream of PM8J2-100	879443	879443	+	acoABCL
CcpA DNA-binding-site 48.0 bases downstream of PM8J2-769	834359	834359	+	citM-yflN
CcpA DNA-binding-site 5 bases downstream of rosAp	1056389	1056400	+	rosA
CcpA DNA-binding-site 5.5 bases downstream of PM8J2-795	327502	327502	+	amyE
CcpA DNA-binding-site 52.5 bases upstream of PM8J2-614	3866416	3866416	-	pta
CcpA DNA-binding-site 57.5 bases upstream of PM8J2-805	3016448	3016448	-	ackA
CcpA DNA-binding-site 6.5 bases downstream of PM8J2-595	3701385	3701385	+	rbsRKDACB
CcpA DNA-binding-site 64 bases downstream of deoCp	4052241	4052241	-	deoC-nupC-pdp
CcpA DNA-binding-site 66.5 bases downstream of PM8J2-790	2948907	2948907	-	araABDLMNPQ-abfA
CcpA DNA-binding-site 7.0 bases downstream of PM8J2-662	890002	890002	+	malA-yfiA-malP
CcpA DNA-binding-site 73.5 bases downstream of PM8J2-789	3485497	3485497	-	araE
CcpA DNA-binding-site 79.5 bases upstream of PM8J2-682	2897534	2897534	-	ilvBHC-leuABCD
CcpA DNA-binding-site 8.5 bases downstream of PM8J2-684	4041459	4041459	+	hut
CcpA DNA-binding-site 88.5 bases downstream of PM8J2-767	2982376	2982376	-	citZ-icd-mdh
CcpA DNA-binding-site 9.5 bases downstream of PM8J2-614	3866355	3866355	-	pta
CcpA DNA-binding-site 96.5 bases downstream of PM8J2-655	4084479	4084479	-	mmsA-iolBCDEF-idh-iolHI-fbaB
CcpA DNA-binding-site regulating pchRp			+	pchR-yvmA
CcpA DNA-binding-site regulating PM8J2-1			+	gmuBACDREFG
CcpA DNA-binding-site regulating PM8J2-1053	3979788	3979788	+	yxkJ
CcpA DNA-binding-site regulating PM8J2-1054	2077391	2077391	+	yobO
CcpA DNA-binding-site regulating PM8J2-1055	627950	627950	+	ydhO
CcpA DNA-binding-site regulating PM8J2-1056	3513250	3513250	-	sigL
CcpA DNA-binding-site regulating PM8J2-1060	2919923	2919923	-	lcfA-ysiAB-etfBA
CcpA DNA-binding-site regulating PM8J2-1068	883699	883699	+	acoR-sspH
CcpA DNA-binding-site regulating PM8J2-797			-	alsSD
CcpB DNA-binding-site regulating gntR-P1			+	gntRKPZ
CcpB DNA-binding-site regulating PM8J2-532			+	xylAB
CcpC DNA-binding-site 28.5 bases upstream of PM8J2-772	1926584	1926584	+	citB
CcpC DNA-binding-site 3.5 bases upstream of PM8J2-767	2982467	2982467	-	citZ-icd-mdh
CcpC DNA-binding-site 32.5 bases downstream of PM8J2-767	2982432	2982432	-	citZ-icd-mdh
CcpC DNA-binding-site 63.5 bases upstream of PM8J2-772	1926549	1926549	+	citB
CcpN DNA-binding-site 1.5 bases downstream of PM8J2-719	2968100	2968100	-	gapB-speD
CcpN DNA-binding-site 20.0 bases upstream of PM8J2-635	3129471	3129471	+	pckA
CggR DNA-binding-site 49.5 bases downstream of PM8J2-774	3483822	3483822	-	cggR-gapA-pgk-tpiA-pgm-eno
CitR DNA-binding-site regulating PM8J2-773			+	citA
CitT DNA-binding-site 182.0 bases upstream of PM8J2-769	834130	834130	+	citM-yflN
CitT DNA-binding-site 60.5 bases upstream of PM8J2-769	834252	834252	+	citM-yflN
CodY DNA-binding-site 10.5 bases downstream of PM8J2-684	4041461	4041461	+	hut
CodY DNA-binding-site 12.5 bases downstream of PM8J2-735	1360377	1360377	+	dppABCDE
