,locus_tag,left,right,strand,name
0,BSU_27090,2766558,2767946,1,Amino-acid permease AapA
1,BSU_14120,1485118,1485315,1,Antirepressor AbbA
2,BSU_28510,2913661,2915148,-1,Intracellular exo-alpha-L-arabinofuranosidase 2 (ABF) (EC 3.2.1.55) (Intracellular arabinan exo-alpha-L-arabinosidase) (Arabinosidase)
3,BSU_28720,2938330,2939832,-1,Intracellular exo-alpha-(1->5)-L-arabinofuranosidase 1 (ABF) (EC 3.2.1.55) (Intracellular arabinan exo-alpha-(1->5)-L-arabinosidase) (Arabinosidase)
4,BSU_14480,1517865,1518143,1,Putative transition state regulator Abh
5,BSU_28810,2949053,2950024,-1,"Extracellular endo-alpha-(1->5)-L-arabinanase 1 (ABN) (EC 3.2.1.99) (Endo-1,5-alpha-L-arabinanase)"
6,BSU_00370,44848,45138,-1,Transition state regulatory protein AbrB
7,BSU_24340,2530354,2531706,-1,Biotin carboxylase 2 (EC 6.3.4.14) (Acetyl-coenzyme A carboxylase biotin carboxylase subunit A 2)
8,BSU_29210,2988693,2989565,-1,Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 2.1.3.15)
9,BSU_37170,3813246,3814385,-1,Acyl-CoA dehydrogenase (EC 1.3.99.-)
10,BSU_29470,3015111,3016298,-1,Acetate kinase (EC 2.7.2.1) (Acetokinase)
11,BSU_08060,879002,880003,1,"Acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit alpha (Acetoin:DCPIP oxidoreductase-alpha) (Ao:DCPIP OR) (EC 1.1.1.-) (TPP-dependent acetoin dehydrogenase E1 subunit alpha)"
12,BSU_08100,883758,885575,1,Acetoin dehydrogenase operon transcriptional activator AcoR
13,BSU_04620,515710,516075,1,Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)
14,BSU_29690,3040092,3040724,1,Acetoin utilization protein AcuA (EC 2.3.1.-) (Protein acetyltransferase AcuA)
15,BSU_29700,3040751,3041395,1,Acetoin utilization protein AcuB
16,BSU_29710,3041392,3042555,1,Acetoin utilization protein AcuC
17,BSU_01810,203729,204364,1,Bifunctional transcriptional activator/DNA repair enzyme AdaA (Methylphosphotriester-DNA methyltransferase) (Methylphosphotriester-DNA--protein-cysteine S-methyltransferase) (EC 2.1.1.n11)
18,BSU_10620,1136320,1139820,1,ATP-dependent helicase/deoxyribonuclease subunit B (EC 3.1.-.-) (EC 3.6.4.12) (ATP-dependent helicase/nuclease AddB)
19,BSU_14520,1521351,1523084,1,Adenine deaminase (Adenase) (Adenine aminase) (EC 3.5.4.2)
20,BSU_31920,3276955,3278223,1,DNA-binding transcriptional activator AdeR (PucR-type transcriptional activator AdeR)
21,BSU_27000,2755382,2755804,-1,HTH-type transcriptional regulator AdhR
22,BSU_40090,4118950,4119513,1,Alkyl hydroperoxide reductase C (EC 1.11.1.26) (General stress protein 22) (Peroxiredoxin) (Thioredoxin peroxidase)
23,BSU_40100,4119527,4121056,1,NADH dehydrogenase (EC 7.1.1.2) (Alkyl hydroperoxide reductase)
24,BSU_24250,2522324,2522773,-1,Arginine repressor (Arginine hydroxamate resistance protein)
25,BSU_27410,2798174,2800810,-1,Alanine--tRNA ligase (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS)
26,BSU_31400,3225772,3226932,-1,Putative aminotransferase YugH (EC 2.6.1.-)
27,BSU_31930,3278325,3279461,1,Alanine dehydrogenase (EC 1.4.1.1) (Stage V sporulation protein N)
28,BSU_38830,3986428,3987885,1,Putative aldehyde dehydrogenase AldY (EC 1.2.1.3)
29,BSU_01800,202547,203458,-1,DNA-3-methyladenine glycosylase (EC 3.2.2.21) (3-methyladenine-DNA glycosidase)
30,BSU_04640,517372,518541,1,Alanine racemase 1 (EC 5.1.1.1)
31,BSU_36000,3708799,3709566,-1,Alpha-acetolactate decarboxylase (EC 4.1.1.5)
32,BSU_36020,3711498,3712406,1,HTH-type transcriptional regulator AlsR (Als operon regulatory protein)
33,BSU_18120,1938925,1940322,1,Amino-acid carrier protein AlsT
34,BSU_03010,324038,325189,-1,Amidohydrolase AmhX (EC 3.5.1.-) (Aminoacylase)
35,BSU_04230,474731,475540,1,Lipid II flippase Amj
36,BSU_14450,1514997,1516229,-1,Aminopeptidase AmpS (EC 3.4.11.-)
37,BSU_23590,2456990,2457340,1,HTH-type transcriptional regulator AnsR (Ans operon repressor protein)
38,BSU_02690,290915,292042,1,L-asparaginase 2 (L-ASNase 2) (EC 3.5.1.1) (L-asparagine amidohydrolase 2)
39,BSU_25220,2602979,2603275,1,Protein AntE
40,BSU_11360,1211477,1212463,1,Oligopeptide transport ATP-binding protein AppD
41,BSU_10300,1104423,1105568,-1,Subtilisin E (EC 3.4.21.62)
42,BSU_17260,1861384,1862712,-1,Serine protease AprX (EC 3.4.21.-)
43,BSU_27610,2822901,2823413,-1,Adenine phosphoribosyltransferase (APRT) (EC 2.4.2.7)
44,BSU_33960,3484072,3485466,-1,Arabinose-proton symporter (Arabinose transporter)
