,b3571,b4032,b4033
RNAP,1e-06,1e-06,1e-06
kDeg,0.0023104906018664843,0.0023104906018664843,0.0023104906018664843
promoterConcVal,1e-09,1e-09,1e-09
TF,0.0,0.0,0.0
u,0.0002777777777777778,0.0002777777777777778,0.0002777777777777778
mRNA_total,1800.0,1800.0,1800.0
cell_volume,1e-15,1e-15,1e-15
k_d_TF,1.0,1.0,1.0
KdRNAP,0.001,0.001,0.001
kEscape,0.1,10.0,10.0
KeqOpening,0.17927515784526193,0.0013694248341425024,0.0013234417609815266
KdRNAPCrp,6.723632812500797e-06,3.3989715576178853e-07,4.7470092773444566e-07
