,b2058,b2060,b2061,b4028,b4029,b2062
RNAP,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
kDeg,0.0023104906018664843,0.0023104906018664843,0.0023104906018664843,0.0023104906018664843,0.0023104906018664843,0.0023104906018664843
promoterConcVal,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09
TF,0.0,0.0,0.0,0.0,0.0,0.0
u,0.0002777777777777778,0.0002777777777777778,0.0002777777777777778,0.0002777777777777778,0.0002777777777777778,0.0002777777777777778
mRNA_total,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
cell_volume,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15
k_d_TF,1.0,1.0,1.0,1.0,1.0,1.0
KdRNAP,0.001,0.001,0.001,0.001,0.001,0.001
kEscape,0.1,10.0,0.1,0.1,0.1,0.1
KeqOpening,0.10668628186560267,0.0011709519333847965,0.09354848163977036,0.10650799291366954,0.14563183027205037,0.09626023681893806
KdRNAPCrp,1.474609375000147e-06,1.442871093750147e-06,1.0409317016603013e-06,2.172851562500146e-06,6.782226562500796e-06,3.8818359375001097e-07
