,Unnamed: 0,Unnamed: 0.1,exp,ale,flask,isolate,tech_rep,presence,Reference Seq,Position,Mutation Type,Details,Sequence Change,Gene,coding,organism,left,right,tf,snp_per_tf,dist_to_mid
0,6019,109,TOL_hexamethylenediamine,4,50,3,1,1.0,NC_000913,940856,SNP,intergenic (+136/‑103),A→G,serS/dmsA,False,Escherichia coli,940850,940862,IHF,24.0,0.0
2,5973,54,TOL_adipic_acid,5,50,2,1,1.0,NC_000913,1842229,SNP,intergenic (‑94/‑142),T→G,ynjH/gdhA,False,Escherichia coli,1842220,1842234,Nac,1.0,2.0
6,5303,299,HOT_dnaQ,11,142,1,1,1.0,NC_000913,222731,SNP,intergenic (‑86/‑102),C→T,metN/gmhB,False,Escherichia coli,222724,222739,MetJ,4.0,-0.5
23,4614,6,GLU_16321-M9-NC_000913_3gb-stationary-37-Glucose2-NH4Cl1-KH2PO43-MgSO4024-O2,17,104,1,1,1.0,NC_000913,4100717,SNP,intergenic (‑192/‑93),G→T,rhaT/sodA,False,Escherichia coli,4100715,4100729,ArcA,5.0,-5.0
30,5884,1616,"TOL_1,2-propanediol",7,50,1,1,1.0,NC_000913,2832456,SNP,intergenic (‑167/‑20),C→T,norR/norV,False,Escherichia coli,2832449,2832461,IHF,24.0,1.0
31,6067,48,TOL_octanoic_acid,5,50,1,1,1.0,NC_000913,2832456,SNP,intergenic (‑167/‑20),C→T,norR/norV,False,Escherichia coli,2832449,2832461,IHF,24.0,1.0
33,4614,6,GLU_16321-M9-NC_000913_3gb-stationary-37-Glucose2-NH4Cl1-KH2PO43-MgSO4024-O2,17,104,1,1,1.0,NC_000913,4100717,SNP,intergenic (‑192/‑93),G→T,rhaT/sodA,False,Escherichia coli,4100714,4100728,ArcA,5.0,-4.0
34,4617,4,GLU_16321-M9-NC_000913_3gb-stationary-37-Glucose2-NH4Cl1-KH2PO43-MgSO4024-O2,17,61,1,1,1.0,NC_000913,4341824,SNP,intergenic (‑196/‑87),T→G,melR/melA,False,Escherichia coli,4341816,4341833,MelR,5.0,-0.5
35,4617,4,GLU_16321-M9-NC_000913_3gb-stationary-37-Glucose2-NH4Cl1-KH2PO43-MgSO4024-O2,17,61,1,1,1.0,NC_000913,4341824,SNP,intergenic (‑196/‑87),T→G,melR/melA,False,Escherichia coli,4341816,4341833,MelR,5.0,-0.5
36,4617,4,GLU_16321-M9-NC_000913_3gb-stationary-37-Glucose2-NH4Cl1-KH2PO43-MgSO4024-O2,17,61,1,1,1.0,NC_000913,4341824,SNP,intergenic (‑196/‑87),T→G,melR/melA,False,Escherichia coli,4341816,4341833,MelR,5.0,-0.5
57,4614,6,GLU_16321-M9-NC_000913_3gb-stationary-37-Glucose2-NH4Cl1-KH2PO43-MgSO4024-O2,17,104,1,1,1.0,NC_000913,4100717,SNP,intergenic (‑192/‑93),G→T,rhaT/sodA,False,Escherichia coli,4100708,4100726,Fur,6.0,0.0
58,4614,6,GLU_16321-M9-NC_000913_3gb-stationary-37-Glucose2-NH4Cl1-KH2PO43-MgSO4024-O2,17,104,1,1,1.0,NC_000913,4100717,SNP,intergenic (‑192/‑93),G→T,rhaT/sodA,False,Escherichia coli,4100714,4100732,Fur,6.0,-6.0
59,3556,33,CCK_gnd,18,169,2,1,1.0,NC_000913,1020956,SNP,intergenic (‑37/‑182),A→G,sulA/sxy,False,Escherichia coli,1020939,1020958,LexA,10.0,7.5
60,3581,630,CCK_pgi,4,111,1,1,1.0,NC_000913,1020956,SNP,intergenic (‑37/‑182),A→G,sulA/sxy,False,Escherichia coli,1020939,1020958,LexA,10.0,7.5
61,3592,630,CCK_pgi,5,109,2,1,1.0,NC_000913,1020956,SNP,intergenic (‑37/‑182),A→G,sulA/sxy,False,Escherichia coli,1020939,1020958,LexA,10.0,7.5
62,4641,81,GLU_4721-M9-NC_000913_3gb-stationary-37-Glucose2-NH4Cl1-KH2PO43-MgSO4024-O2,9,77,1,1,1.0,NC_000913,2892006,SNP,intergenic (‑108/‑208),A→C,cysJ/queD,False,Escherichia coli,2891998,2892039,CysB,2.0,-12.5
65,4614,6,GLU_16321-M9-NC_000913_3gb-stationary-37-Glucose2-NH4Cl1-KH2PO43-MgSO4024-O2,17,104,1,1,1.0,NC_000913,4100717,SNP,intergenic (‑192/‑93),G→T,rhaT/sodA,False,Escherichia coli,4100709,4100728,MarA,131.0,-1.5
66,4614,6,GLU_16321-M9-NC_000913_3gb-stationary-37-Glucose2-NH4Cl1-KH2PO43-MgSO4024-O2,17,104,1,1,1.0,NC_000913,4100717,SNP,intergenic (‑192/‑93),G→T,rhaT/sodA,False,Escherichia coli,4100709,4100728,Rob,87.0,-1.5
68,4614,6,GLU_16321-M9-NC_000913_3gb-stationary-37-Glucose2-NH4Cl1-KH2PO43-MgSO4024-O2,17,104,1,1,1.0,NC_000913,4100717,SNP,intergenic (‑192/‑93),G→T,rhaT/sodA,False,Escherichia coli,4100705,4100724,SoxS,131.0,2.5
70,6072,37,TOL_putrescine,2,50,1,1,1.0,NC_000913,1934806,SNP,intergenic (‑202/+33),C→T,edd/zwf,False,Escherichia coli,1934797,1934816,GntR,4.0,-0.5
73,5835,848,"TOL_1,2-propanediol",3,50,3,1,1.0,NC_000913,2461278,SNP,intergenic (‑344/‑28),A→G,yfcZ/fadL,False,Escherichia coli,2461264,2461283,OmpR,3.0,4.5
88,5861,1333,"TOL_1,2-propanediol",5,50,1,1,1.0,NC_000913,1901862,SNP,intergenic (‑277/‑186),T→C,yoaE/manX,False,Escherichia coli,1901843,1901865,Mlc,1.0,8.0
89,4614,6,GLU_16321-M9-NC_000913_3gb-stationary-37-Glucose2-NH4Cl1-KH2PO43-MgSO4024-O2,17,104,1,1,1.0,NC_000913,4100717,SNP,intergenic (‑192/‑93),G→T,rhaT/sodA,False,Escherichia coli,4100705,4100717,IHF,24.0,6.0
95,6023,165,TOL_hexamethylenediamine,4,50,2,1,1.0,NC_000913,2231778,SNP,intergenic (+64/‑66),G→T,yohK/cdd,False,Escherichia coli,2231766,2231787,CRP,24.0,1.5
