,Unnamed: 0,exp,ale,flask,isolate,tech_rep,presence,Reference Seq,Position,Mutation Type,Details,Sequence Change,Gene,coding,organism,left,right,tf,snp_per_tf,dist_to_left
6019,109,TOL_hexamethylenediamine,4,50,3,1,1.0,NC_000913,940856,SNP,intergenic (+136/‑103),A→G,serS/dmsA,False,Escherichia coli,940850,940862,IHF,24.0,6
3573,323,CCK_pgi,3,9,0,1,0.2,NC_000913,816792,SNP,intergenic (‑145/‑252),C→A,ybhK/moaA,False,Escherichia coli,816781,816794,FNR,3.0,11
5973,54,TOL_adipic_acid,5,50,2,1,1.0,NC_000913,1842229,SNP,intergenic (‑94/‑142),T→G,ynjH/gdhA,False,Escherichia coli,1842220,1842234,Nac,1.0,9
5291,27,HOT,16,48,0,1,0.21,NC_000913,3059703,SNP,intergenic (‑2/‑50),A→T,yqfE/argP,False,Escherichia coli,3059694,3059712,PhoB,14.0,9
5292,28,HOT,16,48,0,1,0.21,NC_000913,3059704,SNP,intergenic (‑3/‑49),A→T,yqfE/argP,False,Escherichia coli,3059694,3059712,PhoB,14.0,10
148,413,BOP27-M9-NC_000913_3gb-log-37-Glucose2-NH4Cl1-KH2PO43-MgSO4024-O2,7,20,1,1,1.0,NC_000913,4466262,SNP,intergenic (‑82/+37),A→G,treB/treR,False,Escherichia coli,4466250,4466266,TreR,1.0,12
5303,299,HOT_dnaQ,11,142,1,1,1.0,NC_000913,222731,SNP,intergenic (‑86/‑102),C→T,metN/gmhB,False,Escherichia coli,222724,222739,MetJ,4.0,7
148,413,BOP27-M9-NC_000913_3gb-log-37-Glucose2-NH4Cl1-KH2PO43-MgSO4024-O2,7,20,1,1,1.0,NC_000913,4466262,SNP,intergenic (‑82/+37),A→G,treB/treR,False,Escherichia coli,4466260,4466281,CRP,24.0,2
6176,2258,WT-M9-NC_000913_3gb-stationary-37-Glucose2-NH4Cl1-KH2PO43-MgSO4024-O2,6,6,0,1,1.0,NC_000913,4132562,SNP,intergenic (+295/‑54),C→T,metL/metF,False,Escherichia coli,4132547,4132562,MetJ,4.0,15
6176,2258,WT-M9-NC_000913_3gb-stationary-37-Glucose2-NH4Cl1-KH2PO43-MgSO4024-O2,6,6,0,1,1.0,NC_000913,4132562,SNP,intergenic (+295/‑54),C→T,metL/metF,False,Escherichia coli,4132555,4132570,MetJ,4.0,7
4032,145,EEPcydBappCcyoB,2,21,0,1,0.26,NC_000913,1889915,SNP,intergenic (‑169/+36),A→C,fadD/yeaY,False,Escherichia coli,1889905,1889921,FadR,6.0,10
4033,146,EEPcydBappCcyoB,2,21,0,1,0.25,NC_000913,1889916,SNP,intergenic (‑170/+35),C→T,fadD/yeaY,False,Escherichia coli,1889905,1889921,FadR,6.0,11
