,locus_tag,riboswitch_type,name,left,right,strand
0,RF02637,Gene_sRNA,EF0408_EF0409,18736,18908,1
1,RF00506,Cis-reg_leader,Thr_leader,230710,230819,1
2,RF01000,Gene_miRNA,mir-580,235883,235958,-1
3,RF00638,Gene_miRNA,MIR159,302332,302388,-1
4,RF01460,Gene_sRNA,rliH,409111,409256,1
5,RF02064,Gene_sRNA,STnc370,491113,491179,-1
6,RF02377,Gene_sRNA,SurA,494909,495020,-1
7,RF02452,Gene_sRNA,ncr1575,606471,606695,1
8,RF00506,Cis-reg_leader,Thr_leader,677814,677903,1
9,RF01820,Gene_sRNA,RsaE,724829,724962,-1
10,RF01059,Gene_miRNA,mir-598,753555,753659,-1
11,RF02377,Gene_sRNA,SurA,780999,781073,1
12,RF01408,Gene_sRNA,sraL,827702,827845,1
13,RF01408,Gene_sRNA,sraL,827812,827932,-1
14,RF00084,Gene_sRNA,CsrC,842013,842046,-1
15,RF00512,Cis-reg_leader,Leu_leader,999913,999979,1
16,RF02503,Gene_sRNA,Atu_C9,1013924,1014006,-1
17,RF00512,Cis-reg_leader,Leu_leader,1020009,1020152,-1
18,RF02397,Gene_sRNA,sau-5971,1070320,1070450,-1
19,RF02662,Gene_antisense,BLi_r0872,1104425,1104568,1
20,RF02450,Gene_sRNA,ncr1175,1249357,1249428,-1
21,RF01472,Gene_sRNA,rli40,1258394,1258466,1
22,RF01808,Gene_sRNA,MicX,1282448,1282575,-1
23,RF01578,Gene_sRNA,RUF1,1300258,1300413,1
24,RF00010,Gene_ribozyme,RNaseP_bact_a,1405102,1405212,1
25,RF01673,Gene_sRNA,PhrS,1438092,1438221,1
26,RF00522,Cis-reg_riboswitch,PreQ1,1439274,1439318,1
27,RF02728,Gene_sRNA,HrrF,1534240,1534326,-1
28,RF02079,Gene_sRNA,STnc180,1937863,1938004,-1
29,RF02449,Gene_sRNA,ncr1015,2054069,2054164,-1
30,RF02059,Gene_sRNA,STnc50,2100025,2100106,1
31,RF02924,Gene_sRNA,skipping-rope,2225621,2225730,1
32,RF03075,Gene_sRNA,DUF3800-VIII,2226975,2227040,1
33,RF02057,Gene_sRNA,STnc40,2302663,2302722,1
34,RF00506,Cis-reg_leader,Thr_leader,2344162,2344228,1
35,RF00506,Cis-reg_leader,Thr_leader,2344188,2344307,-1
36,RF02066,Gene_sRNA,STnc320,2507254,2507308,-1
37,RF02583,Gene_sRNA,Teg23,2562814,2562949,-1
38,RF02855,Gene_antisense,Ysr251,2614492,2614703,1
39,RF02617,Gene_sRNA,SSRC10,2621637,2621745,-1
40,RF00489,Gene_antisense,ctRNA_p42d,2843885,2843927,-1
41,RF00506,Cis-reg_leader,Thr_leader,2926929,2927009,1
42,RF00640,Gene_miRNA,MIR167_1,2959206,2959264,-1
43,RF00558,Cis-reg_leader,L20_leader,3095533,3095656,1
44,RF02431,Gene_sRNA,SpF22_sRNA,3102175,3102314,-1
45,RF01139,Gene_snRNA_snoRNA_CD-box,sR2,3130259,3130310,1
46,RF00512,Cis-reg_leader,Leu_leader,3134954,3135062,-1
47,RF02621,Gene_sRNA,BSnc120,3298505,3298602,1
48,RF02792,Gene_antisense,sRNA162,3646614,3646764,-1
49,RF02503,Gene_sRNA,Atu_C9,3697538,3697632,1
50,RF02637,Gene_sRNA,EF0408_EF0409,3707558,3707720,1
51,RF01690,Gene_sRNA,Bacillaceae-1,3830050,3830118,-1
52,RF02503,Gene_sRNA,Atu_C9,3897636,3897684,1
53,RF02066,Gene_sRNA,STnc320,3949906,3949959,1
54,RF00080,Cis-reg_riboswitch,yybP-ykoY,4169799,4169927,-1
