",",locus_tag,cog,essential,y-ome,tpm,tpm_ctrl,tpm_all,reg_effect
0,new_1_148,No COG category,essential,well-annotated,508.0979405,247.8631516,361.5872507,"Spo0A,SigA"
1,new_24_297_c,No COG category,essential,well-annotated,786.9696597,660.6763996,692.9464227,unknown
2,new_150_409,No COG category,essential,well-annotated,13965.58596,28474.83773,16596.59886,"Spo0A,SigA"
3,new_299_1067_c,No COG category,essential,well-annotated,315.6227981,161.0539238,225.1589476,unknown
4,BSU_00010,"Replication, recombination and repair",essential,well-annotated,7227.961429,14320.55713,8847.474603,"Spo0A,SigA"
5,new_1751_1938,No COG category,essential,well-annotated,7257.504172,11386.21006,8173.56642,"Spo0A,SigA"
6,BSU_00020,"Replication, recombination and repair",essential,well-annotated,5357.968925,10390.66234,6087.988845,"Spo0A,SigA"
7,BSU_00030,Function unknown,essential,well-annotated,6251.17597,13806.88264,7416.125793,SigA
8,BSU_00040,"Replication, recombination and repair",essential,well-annotated,9675.857436,15498.05985,10501.80724,SigA
9,BSU_00050,Function unknown,essential,well-annotated,10239.96028,15740.56821,10956.88437,SigA
10,BSU_00060,"Replication, recombination and repair",essential,well-annotated,8526.247902,14465.21354,9208.497094,SigA
11,new_6784_6993,No COG category,essential,well-annotated,6243.709017,11296.59216,6602.286367,SigA
12,BSU_00070,"Replication, recombination and repair",essential,well-annotated,10140.9522,17085.67944,11131.80561,SigA
13,new_9529_9614,No COG category,essential,well-annotated,14457.54879,51397.12353,19573.98665,unknown
14,new_14811_15868,No COG category,essential,well-annotated,604.4414223,629.4290698,582.7365536,unknown
15,BSU_00080,Function unknown,essential,well-annotated,239.0519312,159.0569939,187.5849143,unknown
16,BSU_00090,Nucleotide transport and metabolism,essential,well-annotated,19160.6305,36482.07075,22567.35942,CodY
17,new_17238_17833_c,No COG category,essential,well-annotated,348.6642471,297.2225983,279.5185075,unknown
18,new_17453_17533,No COG category,essential,well-annotated,8095.388749,22961.03413,11662.18101,unknown
19,BSU_00100,Cell wall/membrane/envelope biogenesis,essential,well-annotated,8786.513687,19438.10556,11470.57426,unknown
20,new_18866_18974,No COG category,essential,well-annotated,6315.894222,12435.69915,7462.275972,unknown
21,new_18976_19061,No COG category,essential,well-annotated,13502.27252,38621.05623,15377.67741,Spo0A
22,BSU_00110,Coenzyme transport and metabolism,essential,well-annotated,16578.21349,43889.85854,19490.72317,Spo0A
23,new_19194_19923_c,No COG category,essential,well-annotated,220.0927684,125.1660943,173.9585767,unknown
24,BSU_00120,Coenzyme transport and metabolism,essential,well-annotated,19060.86608,44048.33907,22108.29273,Spo0A
25,BSU__misc_RNA_1,No COG category,essential,well-annotated,17672.37907,29293.64301,18890.85004,Spo0A
26,BSU_00130,"Translation, ribosomal structure and biogenesis",essential,well-annotated,4955.993691,8354.281262,5404.704403,T-box
27,new_22452_22529,No COG category,essential,well-annotated,444.701576,493.5662718,414.2046673,unknown
28,BSU_00140,Nucleotide transport and metabolism,essential,well-annotated,2059.002263,3077.834623,2213.172213,unknown
29,new_22531_23167,No COG category,essential,well-annotated,344.5570638,242.9473692,263.2701235,unknown
30,BSU_00150,Nucleotide transport and metabolism,essential,well-annotated,2825.274111,5111.744455,3170.072236,unknown
