"gene","iM","Val"
"b1948","FlhDC-1",-7.65739696281717
"b1948","FlhDC-2",-3
"b1947","FlhDC-1",-7.72164374807228
"b1947","FlhDC-2",-7
"b1072","FlhDC-1",-7.44206769053852
"b1072","FlhDC-2",-6
"b1946","FlhDC-1",-8.03957725038908
"b1946","FlhDC-2",-3
"b1937","FlhDC-1",-7.93234292603499
"b1937","FlhDC-2",-8
"b1904","FlhDC-1",-8.09025752450703
"b1904","FlhDC-2",-7
"b1081","FlhDC-1",-7.67287335255338
"b1081","FlhDC-2",-10
"b1880","FlhDC-1",-7.49026809706355
"b1880","FlhDC-2",-6
"b1939","FlhDC-1",-7.81383682564137
"b1939","FlhDC-2",-3
"b1940","FlhDC-1",-7.64878921096368
"b1940","FlhDC-2",-3
"b1879","FlhDC-1",-7.07980699554783
"b1879","FlhDC-2",-7
"b1878","FlhDC-1",-7.38142453763092
"b1878","FlhDC-2",-4
"b1080","FlhDC-1",-7.67048225407031
"b1080","FlhDC-2",-3
"b1949","FlhDC-1",-7.56818378122703
"b1949","FlhDC-2",-9
"b1950","FlhDC-1",-7.70777822198126
"b1950","FlhDC-2",-6
