"gene","iM","Val"
"b1948","FlhDC-1",-5
"b1948","FlhDC-2",-9.23065885885265
"b1947","FlhDC-1",-5
"b1947","FlhDC-2",-9.37436044650947
"b1072","FlhDC-1",-3
"b1072","FlhDC-2",-9.37168798544653
"b1946","FlhDC-1",-8
"b1946","FlhDC-2",-9.62414136733161
"b1937","FlhDC-1",-8
"b1937","FlhDC-2",-9.21920515070554
"b1904","FlhDC-1",-10
"b1904","FlhDC-2",-9.31160977081673
"b1081","FlhDC-1",-8
"b1081","FlhDC-2",-9.18508769225791
"b1880","FlhDC-1",-9
"b1880","FlhDC-2",-9.03479583233857
"b1939","FlhDC-1",-8
"b1939","FlhDC-2",-9.50793121907544
"b1940","FlhDC-1",-10
"b1940","FlhDC-2",-9.54998891467081
"b1879","FlhDC-1",-7
"b1879","FlhDC-2",-8.81715133058298
"b1878","FlhDC-1",-6
"b1878","FlhDC-2",-8.82689793199826
"b1080","FlhDC-1",-8
"b1080","FlhDC-2",-9.32202625242195
"b1949","FlhDC-1",-5
"b1949","FlhDC-2",-9.08382986053723
"b1950","FlhDC-1",-10
"b1950","FlhDC-2",-8.7923578154566
