bnum,Promoter,strand,tss,detection,reads,translation_start,utr_len
b0001,thrL,+,148,D,3522,190,42
b0008,talB,+,8191,D,3136,8238,47
b0012,htgA,+,10643,ND,,10830,187
b0012,htgA,+,10644,ND,,10830,186
b0014,dnaK,+,12048,D,2226,12163,115
b0014,dnaK,+,12123,D,743,12163,40
b0014,dnaK,+,12144,D,2857,12163,19
b0019,nhaA,+,17317,D,2,17489,172
b0019,nhaA,+,17458,D,25,17489,31
b0025,ribF,+,21383,D,16,21407,24
b0026,ileS,+,21833,D,5,22391,558
b0026,ileS,+,22034,D,295,22391,357
b0026,ileS,+,22229,D,299,22391,162
b0027,lspA,+,25014,D,26,25207,193
b0031,dapB,+,28288,D,61,28374,86
b0031,dapB,+,28343,D,49,28374,31
b0032,carA,+,29551,D,27,29651,100
b0032,carA,+,29619,D,412,29651,32
b0034,caiF,+,34218,D,65,34300,82
b0041,fixA,+,42325,D,1,42403,78
b0065,yabI,+,71271,D,17,71351,80
b4577,sgrS,+,77367,D,13,77367,0
b0076,leuO,+,84188,ND,,84368,180
b0077,ilvIH,+,85394,ND,,85630,236
b0077,ilvIH,+,85420,ND,,85630,210
b0077,ilvIH,+,85534,ND,,85630,96
b0077,ilvIH,+,85597,D,13,85630,33
b0081,mraZ,+,89596,D,820,89634,38
b0082,mraW,+,90010,D,11,90094,84
b0083,ftsL,+,90688,D,92,91032,344
b0083,ftsL,+,91012,D,1,91032,20
b0093,ftsQ,+,102742,D,19,103155,413
b0093,ftsQ,+,102867,D,8,103155,288
b0094,ftsA,+,103561,D,2,103982,421
b0095,ftsZ,+,104636,D,9,105305,669
b0095,ftsZ,+,104693,D,6,105305,612
b0095,ftsZ,+,105045,ND,,105305,260
b0096,lpxC,+,106508,D,210,106557,49
b0096,lpxC,+,106530,D,54,106557,27
b0113,pdhR,+,122034,D,162,122092,58
b0114,aceE,+,122970,D,2905,123017,47
b0116,lpd,+,127717,D,658,127912,195
b0118,acnB,+,131519,D,34,131615,96
b0118,acnB,+,131564,D,1,131615,51
b0119,yacL,+,134339,D,216,134388,49
b0125,hpt,+,141360,D,72,141431,71
b0149,mrcB,+,164721,D,4,164730,9
b0156,erpA,+,176561,D,1843,176610,49
b0160,dgt,+,179196,ND,,179237,41
b0160,dgt,+,179214,D,1,179237,23
b0161,degP,+,180845,D,78,180884,39
b0162,cdaR,+,182447,ND,,182463,16
b0169,rpsB,+,189711,D,108,189874,163
b0171,pyrH,+,191812,D,218,191855,43
b0174,ispU,+,194784,D,2,194903,119
b0174,ispU,+,194901,D,2,194903,2
b0176,rseP,+,196470,D,15,196546,76
b0177,bamA,+,197026,D,11,197928,902
b0177,bamA,+,197821,D,75,197928,107
b0179,lpxD,+,200455,D,1,200971,516
b0179,lpxD,+,200960,D,56,200971,11
b0185,accA,+,208411,D,221,208621,210
b0200,gmhB,+,222806,D,36,222833,27
b0209,yafD,+,231064,D,54,231122,58
b0240,crl,+,257810,D,456,257829,19
b0314,betT,+,328645,D,57,328687,42
b0315,yahA,+,331097,D,6,331595,498
b0315,yahA,+,331263,D,8,331595,332
b0329,yahO,+,345656,D,654,345708,52
b0336,codB,+,354108,D,472,354146,38
b0339,cynT,+,357997,D,1,358023,26
b0347,mhpA,+,367743,D,6,367835,92
b0365,tauA,+,384429,D,5,384456,27
b0377,sbmA,+,395777,D,3,395863,86
b0382,iraP,+,400543,D,148,400610,67
b0382,iraP,+,400587,D,73,400610,23
b0385,adrA,+,402911,D,5,402927,16
b0388,aroL,+,405504,D,26,405629,125
b0391,yaiE,+,407372,D,62,407401,29
b0401,brnQ,+,418712,D,3,418815,103
b0403,malZ,+,421719,D,21,421739,20
b0406,tgt,+,425279,D,205,425361,82
b0407,yajC,+,426429,D,533,426511,82
b0415,ribE,+,433728,D,1005,433871,143
b0426,yajQ,+,443882,D,622,443907,25
b0435,bolA,+,453573,D,9,453696,123
b0435,bolA,+,453658,D,1006,453696,38
b0436,tig,+,454217,D,504,454357,140
b0436,tig,+,454346,D,12,454357,11
b0437,clpP,+,455801,D,184,455901,100
b0437,clpP,+,455829,D,117,455901,72
b0437,clpP,+,455870,D,218,455901,31
b0438,clpX,+,456426,D,26,456650,224
b0439,lon,+,458039,D,3018,458112,73
b0440,hupB,+,460529,D,7,460675,146
b0440,hupB,+,460556,D,554,460675,119
b0440,hupB,+,460619,D,1568,460675,56
b0440,hupB,+,460666,D,41,460675,9
b0441,ppiD,+,461043,D,1,461139,96
b0441,ppiD,+,461062,ND,,461139,77
b0465,kefA,+,485716,D,30,485760,44
b0469,apt,+,490534,D,109,490636,102
b0470,dnaX,+,491280,D,13,491316,36
b0471,ybaB,+,492933,ND,,493300,367
b0473,htpG,+,494299,D,455,494344,45
b0473,htpG,+,494308,D,2752,494344,36
b0475,hemH,+,497255,D,90,497279,24
b4585,sroB,+,506428,D,376,506428,0
b0485,ybaS,+,510797,D,4,510865,68
b0505,allA,+,531614,D,3,531675,61
b0513,ybbY,+,539583,ND,,539789,206
b0526,cysS,+,553800,D,54,553834,34
b0554,essD,+,576096,D,1,576621,525
b0572,cusC,+,594796,D,1,594823,27
b0576,pheP,+,601152,D,27,601182,30
b0591,entS,+,621476,ND,,621523,47
b0591,entS,+,621481,D,37,621523,42
b0593,entC,+,624054,D,20,624108,54
b0597,ybdB,+,628515,ND,,628523,8
b0598,cstA,+,629087,D,287,629117,30
b0598,cstA,+,629096,D,69,629117,21
b0605,ahpC,+,638144,D,9461,638168,24
b0606,ahpF,+,638225,D,59,638976,751
b0622,pagP,+,655749,D,2,655780,31
b0623,cspE,+,656473,D,741,656515,42
b0643,ybeL,+,674216,D,430,674241,25
b0679,nagE,+,703063,D,80,703167,104
b0680,glnS,+,705222,D,8,705316,94
b0680,glnS,+,705283,D,1366,705316,33
b0707,ybgA,+,738143,ND,,738224,81
b0707,ybgA,+,738203,D,9,738224,21
b0708,phr,+,738644,ND,,738730,86
b0710,ybgI,+,741842,D,18,742050,208
b0710,ybgI,+,742021,D,105,742050,29
b0721,sdhC,+,754181,D,64,754400,219
b0726,sucA,+,757809,D,4032,757929,120
b0733,cydA,+,770393,D,3,770681,288
b0733,cydA,+,770425,D,1,770681,256
b0733,cydA,+,770436,D,7,770681,245
b0733,cydA,+,770507,D,27,770681,174
b0733,cydA,+,770591,D,3,770681,90
b0750,nadA,+,781284,D,19,781308,24
b0754,aroG,+,784814,D,3697,784856,42
b0763,modA,+,794285,D,21,794312,27
b0781,moaA,+,816050,D,3,816267,217
b0781,moaA,+,816137,D,125,816267,130
b0782,moaB,+,817200,D,601,817278,78
b0791,ybhQ,+,823824,D,32,823853,29
b0814,ompX,+,849432,D,618,849673,241
b0814,ompX,+,849642,D,1175,849673,31
