TU,Strand,Start,End,Len ,MU Assembly,TSS ,Current Annotation Assembly,Promoter,Start,5'UTR Len
TU-0001,FWD,150,5000,4850,MU-1;MU-2,148,thrL;thrA;thrB;thrC,thrL,190,42
TU-0002,FWD,150,5000,4850,MU-1;MU-2,163,thrL;thrA;thrB;thrC,thrL,190,27
TU-0003,FWD,150,5000,4850,MU-1;MU-2,170,thrL;thrA;thrB;thrC,thrL,190,20
TU-0004,FWD,2600,5000,2400,MU-2,2688,thrB;thrC,thrB,2801,113
TU-0005,FWD,5050,5525,475,MU-3,5118,yaaX,yaaX,5234,116
TU-0006,FWD,8200,9200,1000,MU-4,8191,talB,talB,8238,47
TU-0007,FWD,8200,9200,1000,MU-4,8198,talB,talB,8238,40
TU-0008,FWD,8200,9200,1000,MU-4,8204,talB,talB,8238,34
TU-0009,FWD,8200,9200,1000,MU-4,8211,talB,talB,8238,27
TU-0010,FWD,8200,9200,1000,MU-4,8230,talB,talB,8238,8
TU-0011,FWD,9300,10100,800,MU-5,9277,mog,mog,9306,29
TU-0012,FWD,12051,15326,3275,MU-6;MU-7,12048,dnaK;Tpke11;dnaJ,dnaK,12163,115
TU-0013,FWD,12051,15326,3275,MU-6;MU-7,12123,dnaK;Tpke11;dnaJ,dnaK,12163,40
TU-0014,FWD,12051,15326,3275,MU-6;MU-7,12159,dnaK;Tpke11;dnaJ,dnaK,12163,4
TU-0015,FWD,12051,15326,3275,MU-6;MU-7,12142,dnaK;Tpke11;dnaJ,dnaK,12163,21
TU-0016,FWD,14076,15326,1250,MU-7,14052,Tpke11;dnaJ,Tpke11,14080,28
TU-0017,FWD,15351,16801,1450,MU-8,15247,insL,insL,15445,198
TU-0018,FWD,15351,16801,1450,MU-8,15253,insL,insL,15445,192
TU-0019,FWD,15351,16801,1450,MU-8,15276,insL,insL,15445,169
TU-0020,FWD,15351,16801,1450,MU-8,15338,insL,insL,15445,107
TU-0021,FWD,16976,17051,75,MU-9,16959,sokC,sokC,16952,-7
TU-0022,FWD,17576,19701,2125,MU-10,17462,nhaA;nhaR,nhaA,17489,27
TU-0023,FWD,19801,20501,700,MU-11,19727,NT,,,
TU-0024,FWD,19801,20501,700,MU-11,19742,NT,,,
TU-0025,FWD,21001,21376,375,MU-12,20912,yaaY,yaaY,21181,269
TU-0026,FWD,21401,24976,3575,MU-13,21383,ribF;ileS,ribF,21407,24
TU-0027,FWD,21401,24976,3575,MU-13,21395,ribF;ileS,ribF,21407,12
TU-0028,FWD,25001,25726,725,MU-14,24971,lspA,lspA,25207,236
TU-0029,FWD,25001,25726,725,MU-14,25006,lspA,lspA,25207,201
TU-0030,FWD,25751,28201,2450,MU-15,25695,fkpB;ispH;rihC,fkpB,25826,131
TU-0031,FWD,25751,28201,2450,MU-15,25698,fkpB;ispH;rihC,fkpB,25826,128
TU-0032,FWD,25751,28201,2450,MU-15,25701,fkpB;ispH;rihC,fkpB,25826,125
TU-0033,FWD,25751,28201,2450,MU-15,25804,fkpB;ispH;rihC,fkpB,25826,22
TU-0034,FWD,28276,29201,925,MU-16,28289,dapB,dapB,28374,85
TU-0035,FWD,28276,29201,925,MU-16,28343,dapB,dapB,28374,31
TU-0036,FWD,29555,34055,4500,MU-17,29551,carA;carB,carA,29651,100
TU-0037,FWD,29555,34055,4500,MU-17,29620,carA;carB,carA,29651,31
TU-0038,FWD,29555,34055,4500,MU-17,29632,carA;carB,carA,29651,19
TU-0039,FWD,34234,34784,550,MU-18,34226,caiF,caiF,34300,74
TU-0040,FWD,34234,34784,550,MU-18,34273,caiF,caiF,34300,27
TU-0041,FWD,42403,45750,3347,MU-19,,fixA;fixB;fixC;fixX,fixA,42403,
TU-0042,FWD,45807,47138,1331,MU-20,,yaaU,yaaU,45807,
TU-0043,FWD,47234,49509,2275,MU-21,47215,kefF;kefC,kefF,47246,31
TU-0044,FWD,49809,50509,700,MU-22,49788,folA,folA,49823,35
TU-0045,FWD,49809,50509,700,MU-22,49799,folA,folA,49823,24
TU-0046,FWD,57284,58734,1450,MU-23,57259,djlA,djlA,57364,105
TU-0047,FWD,57284,58734,1450,MU-23,57261,djlA,djlA,57364,103
TU-0048,FWD,58784,59709,925,MU-24,58946,yabP,yabP,58474,-472
TU-0049,FWD,70184,71184,1000,MU-25,70221,araC,araC,70387,166
TU-0050,FWD,71234,72284,1050,MU-26,71240,yabI,yabI,71351,111
TU-0051,FWD,71234,72284,1050,MU-26,71271,yabI,yabI,71351,80
TU-0052,FWD,77409,78909,1500,MU-27,77357,sgrS;setA,sgrS,77367,10
TU-0053,FWD,77409,78909,1500,MU-27,77367,sgrS;setA,sgrS,77367,0
TU-0054,FWD,84359,84734,375,MU-28,84298,leuO,leuO,84368,70
TU-0055,FWD,84359,84734,375,MU-28,84307,leuO,leuO,84368,61
TU-0056,FWD,85609,87834,2225,MU-29,85599,ilvI;ilvH,ilvI,85630,31
TU-0057,FWD,85609,87834,2225,MU-29,85604,ilvI;ilvH,ilvI,85630,26
TU-0058,FWD,88009,89159,1150,MU-30,87837,fruR,fruR,88028,191
TU-0059,FWD,88009,89159,1150,MU-30,87868,fruR,fruR,88028,160
TU-0060,FWD,88009,89159,1150,MU-30,87969,fruR,fruR,88028,59
TU-0061,FWD,89634,107459,17825,MU-31;MU-32;MU-33;MU-34;MU-35;MU-36;MU-37;MU-38;MU-39,89589,mraZ;mraW;ftsL;ftsI;murE;murF;mraY;murD ;ftsW;murG;murC;ddlB;ftsQ;ftsA;ftsZ;lpxC,mraZ,89634,45
TU-0062,FWD,89959,107459,17500,MU-32;MU-33;MU-34;MU-35;MU-36;MU-37;MU-38;MU-39,89954,mraW;ftsL;ftsI;murE;murF;mraY;murD;ftsW;murG;murC;ddlB;ftsQ;ftsA;ftsZ;lpxC, mraW,90094,140
TU-0063,FWD,89959,107459,17500,MU-32;MU-33;MU-34;MU-35;MU-36;MU-37;MU-38;MU-39,90014,mraW;ftsL;ftsI;murE;murF;mraY;murD;ftsW;murG;murC;ddlB;ftsQ;ftsA;ftsZ;lpxC, mraW,90094,80
TU-0064,FWD,90334,107459,17125,MU-33;MU-34;MU-35;MU-36;MU-37;MU-38;MU-39,90327,ftsL;ftsI;murE;murF;mraY;murD;ftsW;murG;murC;ddlB;ftsQ;ftsA;ftsZ;lpxC,ftsL,91032,705
TU-0065,FWD,90709,107459,16750,MU-34;MU-35;MU-36;MU-37;MU-38;MU-39,90682,ftsL;ftsI;murE;murF;mraY;murD;ftsW;murG;murC;ddlB;ftsQ;ftsA;ftsZ;lpxC,ftsL,91032,350
TU-0066,FWD,90709,107459,16750,MU-34;MU-35;MU-36;MU-37;MU-38;MU-39,91028,ftsL;ftsI;murE;murF;mraY;murD;ftsW;murG;murC;ddlB;ftsQ;ftsA;ftsZ;lpxC,ftsL,91032,4
