tss_id,strand,tss,reads_log,reads_hs,reads_hs_stat,rts_id
TSS-FWD-1,FWD,148,3459,3502,3522,RTS_R4_+_1
TSS-FWD-2,FWD,163,774,774,774,RTS_R4_+_1
TSS-FWD-3,FWD,170,734,735,736,RTS_R4_+_1
TSS-FWD-4,FWD,2688,72,72,72,RTS_R4_+_2
TSS-FWD-5,FWD,5118,3,3,3,RTS_R4_+_3
TSS-FWD-6,FWD,8191,933,936,938,RTS_R4_+_4
TSS-FWD-7,FWD,8198,3122,3130,3136,RTS_R4_+_4
TSS-FWD-8,FWD,8204,197,197,197,RTS_R4_+_4
TSS-FWD-9,FWD,8211,110,110,110,RTS_R4_+_4
TSS-FWD-10,FWD,8230,71,71,73,RTS_R4_+_4
TSS-FWD-11,FWD,9277,137,138,138,RTS_R4_+_5
TSS-FWD-12,FWD,12048,1960,2181,2226,RTS_R4_+_6
TSS-FWD-13,FWD,12123,627,729,743,RTS_R4_+_6
TSS-FWD-14,FWD,12159,140,189,192,RTS_R4_+_6
TSS-FWD-15,FWD,12142,2307,2833,2857,RTS_R4_+_6
TSS-FWD-16,FWD,14052,60,202,208,RTS_R4_+_7
TSS-FWD-17,FWD,15247,,17,17,RTS_R4_+_8
TSS-FWD-18,FWD,15253,1,15,15,RTS_R4_+_8
TSS-FWD-19,FWD,15276,5,12,12,RTS_R4_+_8
TSS-FWD-20,FWD,15338,15,15,15,RTS_R4_+_8
TSS-FWD-21,FWD,16959,2,2,4,RTS_R4_+_9
TSS-FWD-22,FWD,17462,25,25,25,RTS_R4_+_10
TSS-FWD-23,FWD,19727,4,4,4,RTS_R4_+_11
TSS-FWD-24,FWD,19742,3,3,3,RTS_R4_+_11
TSS-FWD-25,FWD,20912,32,45,45,RTS_R4_+_12
TSS-FWD-26,FWD,21383,15,15,15,RTS_R4_+_13
TSS-FWD-27,FWD,21395,9,9,9,RTS_R4_+_13
TSS-FWD-28,FWD,24971,26,26,26,RTS_R4_+_14
TSS-FWD-29,FWD,25006,25,26,26,RTS_R4_+_14
TSS-FWD-30,FWD,25695,53,53,53,RTS_R4_+_15
TSS-FWD-31,FWD,25698,55,55,55,RTS_R4_+_15
TSS-FWD-32,FWD,25701,57,57,57,RTS_R4_+_15
TSS-FWD-33,FWD,25804,36,36,36,RTS_R4_+_15
TSS-FWD-34,FWD,28289,59,59,59,RTS_R4_+_16
TSS-FWD-35,FWD,28343,47,48,49,RTS_R4_+_16
TSS-FWD-36,FWD,29551,27,27,27,RTS_R4_+_17
TSS-FWD-37,FWD,29620,412,412,412,RTS_R4_+_17
TSS-FWD-38,FWD,29632,68,68,68,RTS_R4_+_17
TSS-FWD-39,FWD,34226,63,65,65,RTS_R4_+_18
TSS-FWD-40,FWD,34273,53,53,53,RTS_R4_+_18
TSS-FWD-41,FWD,47215,143,145,145,RTS_R4_+_19
TSS-FWD-42,FWD,49788,12,12,22,RTS_R4_+_20
TSS-FWD-43,FWD,49799,368,368,368,RTS_R4_+_20
TSS-FWD-44,FWD,57259,28,28,28,RTS_R4_+_21
TSS-FWD-45,FWD,57261,31,31,31,RTS_R4_+_21
TSS-FWD-46,FWD,58946,178,178,178,RTS_R4_+_22
TSS-FWD-47,FWD,70221,82,89,92,RTS_R4_+_23
TSS-FWD-48,FWD,71240,20,20,20,RTS_R4_+_24
TSS-FWD-49,FWD,71271,13,13,17,RTS_R4_+_24
TSS-FWD-50,FWD,77357,13,13,13,RTS_R4_+_25
