,b0198,b0199,b3008
RNAP,1e-06,1e-06,1e-06
kDeg,0.0023104906018664843,0.0023104906018664843,0.0023104906018664843
promoterConcVal,1e-09,1e-09,1e-09
TF,0.0,0.0,0.0
u,0.0002777777777777778,0.0002777777777777778,0.0002777777777777778
mRNA_total,1800.0,1800.0,1800.0
cell_volume,1e-15,1e-15,1e-15
k_d_TF,1.0,1.0,1.0
KdRNAP,0.001,0.001,0.001
kEscape,0.1,10.0,0.10732218445942703
KeqOpening,0.5484681352941881,0.002886185877476516,0.976696892715417
KdRNAPCrp,2.172851562500146e-06,1.608886718750147e-06,8.261718750000788e-06
