Reference genome,ChIP-exo Start,ChIP-exo End,S/N ratio,tu_id,tu_name
NC_010468.1,27526,27538,4.846829174,ECK120009117,tisB
NC_010468.1,80827,80839,2.899665552,ECK120009087,mutM
NC_010468.1,134188,134200,4.386480576,ECK120009543,selAB
NC_010468.1,154468,154480,2.005434783,ECK120009329,malS
NC_010468.1,188646,188658,1.757943144,ECK120009452,dppABCDF
NC_010468.1,193100,193112,1.658091073,ECK120027649,bcsEFG
NC_010468.1,229457,229469,1.49282866,ECK120008969,gadX
NC_010468.1,303441,303453,2.0126061230000003,ECK120009109,ugpBAECQ
NC_010468.1,427874,427886,1.8923012609999998,ECK120030197,gspCDEFGHIJKLMO
NC_010468.1,504632,504644,3.197742475,ECK120021182,aaeR
NC_010468.1,508372,508384,2.020806535,ECK120027580,aaeXAB
NC_010468.1,537392,537404,1.9854643680000001,ECK120009097,arcB
NC_010468.1,540037,540049,4.701601492,ECK125135005,yrbG-kdsDC-lptCAB
NC_010468.1,636329,557867,1.769166452,ECK120009116,metY-rimP-nusA-infB-rbfA-truB-rpsO-pnp
NC_010468.1,643942,636341,2.165230255,ECK120010949,yqjA-mzrA
NC_010468.1,651104,643954,2.126414973,ECK120009062,uxaCA
NC_010468.1,679353,651116,2.669668125,ECK120009062,uxaCA
NC_010468.1,739997,679365,126.2974338,ECK120008993,bacA
NC_010468.1,742486,740009,1.6931759709999998,ECK120009382,metC
NC_010468.1,747134,742498,9.629084127,ECK120008977,exbD
NC_010468.1,798156,748081,13.19455879,ECK120008962,glcDEFGBA
NC_010468.1,799710,798168,4.472408027,ECK120009643,fecIR
NC_010468.1,813292,799722,22.56865835,ECK120009102,mutY-yggX-mltC
NC_010468.1,896871,813304,1.780711346,ECK125162177,ssnA
NC_010468.1,916900,896883,6.781869051,ECK125095429,xdhABC
NC_010468.1,962655,916912,2.242442758,ECK125230243,thyA
NC_010468.1,996322,962667,2.208483406,ECK120009114,gcvB
NC_010468.1,1090075,996334,4.157865963,ECK125199572,relA
NC_010468.1,1123431,1090087,1.8183689219999999,ECK125136341,csrA
NC_010468.1,1161162,1123443,26.64037175,ECK125230240,yqaE-kbp
NC_010468.1,1284099,1161174,3.751607924,ECK125140834,patZ
NC_010468.1,1347823,1284111,3.2993954210000003,ECK125136338,ppk-ppx
NC_010468.1,1398327,1352933,12.47253666,ECK125158013,yfeCD
NC_010468.1,1462543,1398339,44.16600206,ECK120009074,flk
NC_010468.1,1526922,1462555,5.966104965,ECK120008996,argT-hisJQMP
NC_010468.1,1587850,1526934,4.156483149,ECK120009240,nrdAB-yfaE
NC_010468.1,1616105,1587862,28.183239,ECK120009754,napFDAGHBC-ccmABCDEFGH
NC_010468.1,1648162,1616117,1.941407255,ECK125165384,mepS
NC_010468.1,1919836,1648174,239.67468480000002,ECK125140830,sdiA
NC_010468.1,1928073,1919848,7.409602521,ECK125140830,sdiA
NC_010468.1,1929734,1928085,4.1542642139999995,ECK125095420,azuC
NC_010468.1,1974605,1929746,9.821391819,ECK125136337,araFGH
NC_010468.1,1999531,1974617,2.501447131,ECK120009728,eda
NC_010468.1,2010664,1999543,4.796565475,ECK120008976,mgrB
NC_010468.1,2017134,2010964,6.228164393999999,ECK120009413,sdaA
NC_010468.1,2028065,2017146,1.6360303580000002,ECK120009018,fadD-sroD
NC_010468.1,2038271,2028077,2.452855673,ECK125160640,leuE
NC_010468.1,2124694,2028077,2.452855673,ECK125135744,msrB
NC_010468.1,2127095,2038283,1.562869822,ECK125135744,msrB
NC_010468.1,2152236,2124706,3.038815282,ECK120009203,aroH
NC_010468.1,2205101,2127107,23.05630949,ECK120009252,purR
NC_010468.1,2242006,2152248,1.495883715,ECK120009252,purR
NC_010468.1,2258997,2205113,4.729289941,ECK125146693,fumAC
NC_010468.1,2266868,2242018,3.667384873,ECK120008954,asr
NC_010468.1,2364530,2259009,1.794314381,ECK125135682,ydeNM
NC_010468.1,2389973,2266880,3.524343967,ECK125135682,ydeNM
NC_010468.1,2428114,2364542,31.59457808,ECK125140827,ddpXABCDF
NC_010468.1,2490380,2389985,2.4005338309999997,ECK125140825,azoR
NC_010468.1,2508821,2428126,32.12165552,ECK125140825,azoR
NC_010468.1,2581488,2490392,1.718902753,ECK125135647,ydbK-ompN
NC_010468.1,2591151,2508833,2.4025919730000003,ECK125135647,ydbK-ompN
NC_010468.1,2615584,2581500,1.968581168,ECK125136335,yciT
NC_010468.1,2680651,2591163,3.8966104969999997,ECK120009237,narGHJI
NC_010468.1,2702461,2615596,1.665230255,ECK120009237,narGHJI
NC_010468.1,2708763,2680663,3.330782094,ECK120009794,hlyE
NC_010468.1,2710689,2702473,3.3359596089999997,ECK120051389,ycgZ-ymgA-ariR-ymgC
NC_010468.1,2748248,2708775,3.623906612,ECK125135568,phoQ
NC_010468.1,2820120,2710701,1.145999485,ECK125135568,phoQ
NC_010468.1,2828426,2748260,362.6645228,ECK120009253,pyrC
NC_010468.1,2924644,2820132,11.75771803,ECK125135012,cbpAM
NC_010468.1,2967428,2828438,14.16063159,ECK125135012,cbpAM
NC_010468.1,3068853,2924656,2.10007718,ECK125257173,hcp-hcr-poxB
NC_010468.1,3088107,2967440,3.772414458,ECK125257173,hcp-hcr-poxB
NC_010468.1,3104729,3068865,1.8761255469999998,ECK125140764,rybA-mntS
NC_010468.1,3167914,3088119,2.414361976,ECK125140764,rybA-mntS
NC_010468.1,3198193,3104741,37.742796500000004,ECK125158015,sucAB
NC_010468.1,3208637,3167926,12.04187034,ECK125158015,sucAB
NC_010468.1,3254515,3198205,2.949286082,ECK120009236,nagBAC-umpH
NC_010468.1,3281456,3208649,2.530068176,ECK120009236,nagBAC-umpH
NC_010468.1,3332392,3254527,1.7927386159999998,ECK120009236,nagBAC-umpH
NC_010468.1,3332499,3281468,23.38757396,ECK120009112,entS
NC_010468.1,3335014,3332404,70.74559429,ECK120009112,entS
NC_010468.1,3344556,3332511,76.02025984,ECK120009010,fepDGC
NC_010468.1,3383059,3335026,59.79125933,ECK120009010,fepDGC
NC_010468.1,3387789,3335026,59.79125933,ECK120009010,fepDGC
NC_010468.1,3444369,3344568,113.2006689,ECK120009083,aes
NC_010468.1,3450731,3344568,113.2006689,ECK120009083,aes
NC_010468.1,3480190,3383071,3.766400823,ECK120009083,aes
NC_010468.1,3668612,3387801,1.811422691,ECK125135064,mhpR-lacI
NC_010468.1,3726935,3444381,10.30923591,ECK125135064,mhpR-lacI
NC_010468.1,3740702,3450743,9.183142526000001,ECK125135064,mhpR-lacI
NC_010468.1,3742887,3480202,6.292995884,ECK125135064,mhpR-lacI
NC_010468.1,3743800,3668624,4.91764214,ECK120009125,pepD
NC_010468.1,3810193,3726947,1.592584255,ECK125160639,frr
NC_010468.1,3822770,3740714,3.1930151789999996,ECK125160639,frr
NC_010468.1,3830751,3742899,1.989130435,ECK125160639,frr
NC_010468.1,3832325,3743812,1.5273990219999998,ECK125160639,frr
NC_010468.1,3853075,3810205,4.359660406000001,ECK125203405,panD
