"gene","iM","Val"
"b1947","FlhDC-1",-5
"b1947","FlhDC-2",-10.6637106145886
"b1072","FlhDC-1",-5
"b1072","FlhDC-2",-10.6277818248952
"b1081","FlhDC-1",-3
"b1081","FlhDC-2",-10.496182929906
"b1904","FlhDC-1",-8
"b1904","FlhDC-2",-10.5976312222942
"b1946","FlhDC-1",-8
"b1946","FlhDC-2",-10.8545399550258
"b1949","FlhDC-1",-10
"b1949","FlhDC-2",-10.3701051696238
"b1937","FlhDC-1",-8
"b1937","FlhDC-2",-10.6200703907079
"b1080","FlhDC-1",-9
"b1080","FlhDC-2",-10.6388578746767
"b1939","FlhDC-1",-8
"b1939","FlhDC-2",-10.8066651917313
"b1948","FlhDC-1",-10
"b1948","FlhDC-2",-10.4980190610157
"b1880","FlhDC-1",-7
"b1880","FlhDC-2",-10.2871850925276
"b1950","FlhDC-1",-6
"b1950","FlhDC-2",-10.1362166555019
"b1940","FlhDC-1",-8
"b1940","FlhDC-2",-10.8442190789045
"b1879","FlhDC-1",-5
"b1879","FlhDC-2",-10.0692217395806
"b1878","FlhDC-1",-10
"b1878","FlhDC-2",-10.2609919156972
