,b2255,b2256,b2257,b4114,b4544
RNAP,1e-06,1e-06,1e-06,1e-06,1e-06
kDeg,0.0023104906018664843,0.0023104906018664843,0.0023104906018664843,0.0023104906018664843,0.0023104906018664843
promoterConcVal,1e-09,1e-09,1e-09,1e-09,1e-09
TF,0.0,0.0,0.0,0.0,0.0
u,0.0002777777777777778,0.0002777777777777778,0.0002777777777777778,0.0002777777777777778,0.0002777777777777778
mRNA_total,1800.0,1800.0,1800.0,1800.0,1800.0
cell_volume,1e-15,1e-15,1e-15,1e-15,1e-15
k_d_TF,1.0,1.0,1.0,1.0,1.0
KdRNAP,0.001,0.001,0.001,0.001,0.001
kEscape,0.1,0.1,0.1,0.1,0.1
KeqOpening,0.4392757753041754,0.27562658150045294,0.18995962378085027,0.12051199893187253,0.19072857047935188
KdRNAPCrp,1.240722656250078e-05,1.4750976562500773e-05,5.531250000000067e-05,1.1264648437500781e-05,1.154296875000078e-05
